event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
CYP1261,"31 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Teachers (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,"Cyprus Mail",National,"On 31 August 2022, the Union of United Parents and the teachers' branch of the Cyprus Equality Union rallied outside the presidential palace in Nicosia against mask mandates and covid testing at schools as the cabinet was discussing the new coronavirus roadmap for autumn and winter.",0,"crowd size=no report",1663096248
CYP1237,"27 August 2022",2022,1,"Strategic developments","Strategic developments","Change to group/activity","Military Forces of Italy (2018-2022)",,8,,,0,80,,196,Europe,Cyprus,Paphos,,,"Coast of Pafos",35.1446,32.0306,3,"To Vima; Philenews",National-International,"Security measures: On 27 August 2022, the Italian government sent the Italian warship Mimbelli, which was participating in the operation Safe Mediterranean, off the Coast of Pafos in Block 6 of the Exclusive Economic Zone (EEZ) of Cyprus, where the drillship of the Italian consortium ENI-Total discovered a significant natural gas deposit, to protect the drillship from potential harassment by Turkish warships.",0,,1676325071
CYP1255,"25 August 2022",2022,1,Demonstrations,Riots,"Violent demonstration","Rioters (Cyprus)","Labor Group (Cyprus); CTP: Republican Turkish Party; Government of Northern Cyprus (2020-); Turkish Ethnic Group (Cyprus)",5,"Police Forces of Northern Cyprus (2020-)",,1,15,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,"Detay; Philenews",National,"On 25 August 2022, Turkish Cypriot municipality workers, organized by 3 labor unions, clashed with riot police in Northern Nicosia after a Special Law on the Unification of Municipalities was passed. The head of BES union was banned from entering the parliament because he called the UBP ruling party 'dishonorable'. The parliament gate was damaged. CTP MPs occupied the podium in parliament. Opposers to the law claimed it was undemocratic, merging the municipalities arbitrarily in a way that suited the Turkish-backed government ahead of the next elections.",0,"crowd size=no report",1663096246
CYP1251,"25 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Teachers (Cyprus); Women (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,Philenews,National,"On 25 August 2022, members of the English School staff union (ESSA) supported by another 2 teachers' unions rallied outside parliament in Nicosia to protest against the dismissal of 3 female unionist teachers.",0,"crowd size=no report",1663096258
CYP1256,"24 August 2022",2022,1,Demonstrations,Riots,"Violent demonstration","Rioters (Cyprus)","Labor Group (Cyprus); Turkish Ethnic Group (Cyprus)",5,"Police Forces of Northern Cyprus (2020-)",,1,15,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,"Philenews; Detay",National,"On 24 August 2022, Turkish Cypriot municipality workers, organized by 3 labor unions, rallied in Northern Nicosia to express their opposition against the Special Draft Law on the Unification of Municipalities that was being discussed in parliament, and clashed with riot police. The demonstrators, who considered the draft law unconstitutional and undemocratic, blocked traffic with their vehicles, threw eggs and water bottles at police and forced their way into the parliament building. Police arrested a group of unionists.",0,"crowd size=no report",1663096246
CYP1248,"24 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Labor Group (Cyprus); Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,2,Detay,National,"On 24 August 2022, in the morning, Turkish Cypriot municipality workers from Dipkarpaz and Gecitkale, organized by 3 labor unions, marched to Northern Nicosia to protest outside parliament against the Special Draft Law on the Unification of Municipalities that would be discussed later in the day. The protesters said the draft law was unconstitutional and undemocratic and they went to Nicosia on foot after their minivan was confiscated by police.",0,"crowd size=no report",1663096248
CYP1247,"24 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Labor Group (Cyprus); Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,Detay,National,"On 24 August 2022, Turkish-Cypriot school janitors, organized by Kamu-Is, rallied outside the courthouse during a protest-strike in Northern Nicosia for their rights and they demanded a collective labor agreement.",0,"crowd size=no report",1663096248
CYP1253,"24 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Ukraine)","Ukrainian Group (Cyprus); Russian Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Limassol,,,Limassol,34.6841,33.0379,1,Philenews,National,"On 24 August 2022, Ukrainian residents of Limassol rallied to celebrate Ukraine Independence Day and to protest against Russia's invasion in their country. Earlier, a small group of Russian nationals rallied outside the Russian consulate in Limassol, also protesting against Russia's invasion of Ukraine. They were waving white-blue-white flags as a symbol of their opposition.",0,"crowd size=no report",1673376401
CYP1246,"21 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Labor Group (Cyprus); Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,Detay,National,"On 21 August 2022, Turkish-Cypriot school janitors, organized by Kamu-Is, rallied outside the courthouse in Northern Nicosia on the 61st day of their protest-strike for their rights. The demonstrators protested against the subcontractor system and demanded a collective labor agreement.",0,"crowd size=no report",1663096248
CYP1239,"21 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Government of Cyprus (2013-2023)",6,,,0,60,,196,Europe,Cyprus,Paphos,,,Lara,34.9572,32.3107,2,"Cyprus Mail; Philenews",National,"On 21 August 2022, more than 200 demonstrators in their vehicles, mostly residents of Ineia, blocked all roads to Lara beach, a protected turtle conservation station near Pafos, to protest over the Akamas peninsula plan. They demanded the same development as other coastal areas carrying placards and shouting slogans. Strong police forces were observing the demonstration fearing the demonstrators might dig up the turtle nests. Among the protesters, who were peaceful, was the community leader of Ineia.",0,"crowd size=more than 200",1677016121
CYP1252,"20 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Turkish Ethnic Group (Cyprus); Greek Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,Philenews,National,"On 20 August 2022, both Greek-Cypriots and Turkish-Cypriots meeting every Saturday at Buyuk Han in Turkish-controlled Northern Nicosia turned their backs to Turkish-Cypriot President Ersin Tatar, who visited the site during the pre-election period, to express their disapproval.",0,"crowd size=no report",1663096258
CYP1258,"19 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cameroon)","Refugees/IDPs (Cameroon)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,"Cyprus Mail",National,"On 19 August 2022, dozens of Cameroonians singing their traditional songs marched in Nicosia to protest the violent intercommunal clashes that displaced thousands in their country. They rallied outside the UNHCR offices carrying placards with photos of bodies and appealed to the international community to help put an end to the conflict. The protesters also made stops at the Foreign Ministry, the Interior Ministry and the EU House.",0,"crowd size=dozens",1663096248
CYP1242,"19 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","KTAMS: Cyprus Turkish Civil Servants Trade Union; KTOEOS: Cyprus Turkish Secondary School Teachers Union; Labor Group (Cyprus); Teachers (Cyprus); Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,Detay,National,"On 19 August 2022, Turkish-Cypriot unions, including KTAMS and KTOEOS, protested in Northern Nicosia against the Turkish-backed coalition government's undemocratic practices in hiring teachers.",0,"crowd size=no report",1663096248
CYP1238,"17 August 2022",2022,1,"Political violence",Riots,"Mob violence","Rioters (Nigeria)","Refugees/IDPs (Nigeria)",5,"Rioters (Syria)","Police Forces of Cyprus (2013-2023); Refugees/IDPs (Syria)",5,55,,196,Europe,Cyprus,Nicosia,,,Kokkinotrimithia,35.1542,33.1986,1,Philenews,National,"On 17 August 2022, Nigerian migrants clashed with Syrian migrants in the overcrowded Pournara refugee reception center in Kokkinotrimithia. Pournara was built to host 600 people and became full beyond capacity, hosting 2.000 migrants from various countries. The rioters hurled rocks at each other and against police forces, damaging 2 police cars and 5 private vehicles. The riot spilled out of the camp. Police used tear gas. 5 migrants, 2 police officers and 2 security guards were injured.",0,"crowd size=no report",1677016121
CYP1257,"16 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Kurdish Ethnic Group (Cyprus); Protesters (Turkey)",6,,,0,60,,196,Europe,Cyprus,Limassol,,,Troodos,34.9239,32.8817,1,Detay,National,"On 16 August 2022, according to the Turkish Anadolu news agency, 50 members of PKK and members of the Theofilos Kurdish Cultural Association rallied on Troodos mountain, unfurling symbols of PKK, HPG, YPG and YPJ and chanting slogans to express their solidarity with PKK. A PKK leader made a speech.",0,"crowd size=50",1663096248
CYP1241,"16 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Independence Road; Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,Haravgi,National,"On 16 August 2022, on the day Cyprus gained independence from the United Kingdom in 1960, Turkish Cypriot party Independent Road marched against the partition of the island with the slogan 'Independent Cyprus'. The protesters made stops at the Turkish embassy in Northern Nicosia and at the embassy of the United States. They said that if there was a Greek embassy in Turkish-controlled Cyprus, they would have protested there as well.",0,"crowd size=no report",1663096249
CYP1245,"15 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Labor Group (Cyprus); Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,Detay,National,"On 15 August 2022, 2 Turkish-Cypriot unions protested in front of the parliament in Northern Nicosia criticizing the Special Draft Law on the Unification of Municipalities. They demanded all parties be consulted on the reforms and their involvement in amending the law.",0,"crowd size=no report",1663096248
CYP1244,"15 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Labor Group (Cyprus); Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,Detay,National,"On 15 August 2022, Turkish-Cypriot public sector unions rallied in Northern Nicosia during a strike-protest over understaffing at the Traffic Department Licenses Unit due to partisan appointments. The strike had started on 11 August.",0,"crowd size=no report",1663096248
CYP1240,"15 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Independence Road; Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,Detay,National,"On 15 August 2022, Turkish-Cypriots participated in a march in Northern Nicosia with the slogan 'Independent Cyprus Action' ahead of the day Cyprus gained independence from the United Kingdom in 1960 and to protest against the island's partition. The protesters, including Independence Road, Baraka Cultural Center and Anonymous Youth, marched to the British High Commissioner, the American Representative and the Turkish Embassy in Nicosia.",0,"crowd size=no report",1663096248
CYP1254,"14 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)",,6,,,0,60,,196,Europe,Cyprus,Paphos,,,Lara,34.9572,32.3107,2,Philenews,National,"On 14 August 2022, more than 200 demonstrators, mostly residents of Ineia, blocked all roads to Lara beach, a protected turtle conservation station near Pafos, to protest over the Akamas peninsula plan and demanding the same development as other coastal areas. The protesters were shouting slogans and holding placards and they unfurled a banner.",0,"crowd size=more than 200",1664919504
CYP1232,"12 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","APC: Animal Party Cyprus; Cyprus Green Party",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,"Philenews; Cyprus Mail",National,"On 12 August 2022, demonstrators, including members of the Animal Party and the Green Party, rallied outside the attorney general's office in Nicosia to protest over the death of a wildcat, accusing the veterinary services for its death and demanding that the director resign.",0,"crowd size=no report",1660674707
CYP1233,"10 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","KTOEOS: Cyprus Turkish Secondary School Teachers Union; Teachers (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,"Detay; SigmaLive",National,"On 10 August 2022, Turkish Cypriot teachers organized by their unions KTOS and KTOEOS rallied outside the Ministry for National Education and the police department in Northern Nicosia to express their solidarity with their colleagues arrested during a demonstration against amending the education law without consulting teachers. Their representative made statements and accused the education minister of anti-democratic practices and nepotism ahead of the elections.",0,"crowd size=no report",1660674707
CYP1235,"08 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)",,6,,,0,60,,196,Europe,Cyprus,Larnaca,,,Larnaca,34.9229,33.6233,1,"Cyprus Mail",National,"On 8 August 2022, activists rallied outside the courthouse in Larnaca to express their solidarity with a Congolese woman during the trial of a Greek Cypriot man, who beat her up while she was carrying her infant.",0,"crowd size=no report",1660674708
CYP1234,"06 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Isaak-Solomou Memorial Initiative",6,,,0,60,,196,Europe,Cyprus,Famagusta,,,Deryneia,35.0648,33.9609,2,"Philenews; SigmaLive",National,"On 6 August 2022, at least 80 motorcyclists of the 'Isaak-Solomou Memorial Initiative' participated in a motorcade from all districts of the Republic of Cyprus to the checking point of Deryneia to honor the memory of the Greek Cypriot demonstrators killed by Turkish forces in 1996 and to demand the arrest of the perpetrators and protest for a free Cyprus. The motorcyclists stopped to protest at the crosspoints of Astromeritis, Ayios Dhometios and Ledras.",0,"crowd size=at least 80",1666712168
CYP1228,"05 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","KTOEOS: Cyprus Turkish Secondary School Teachers Union; Teachers (Cyprus); Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,Detay,National,"On 5 August 2022, teachers' unions KTOS and KTOEOS protested outside the Ministry of National Education in Northern Nicosia against the government's plans to make changes to the education law without consulting them. The protesters chanted 'we will win by resisting' and 'puppets resign' and they gave carnations to the police.",0,"crowd size=no report",1660055880
CYP1227,"05 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)",,6,,,0,60,,196,Europe,Cyprus,Larnaca,,,Larnaca,34.9229,33.6233,1,Philenews,National,"On 5 August 2022, activists rallied in Larnaca carrying banners and placards to protest against racism on the day a Cypriot man who attacked a Congolese woman appeared in court.",0,"crowd size=no report",1660055882
CYP1225,"03 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Labor Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Limassol,,,Limassol,34.6841,33.0379,1,"Cyprus Mail; Philenews",National,"On 3 August 2022, court stenographers in Limassol walked off their jobs to protest over understaffing and being overworked.",0,"crowd size=no report",1660055879
CYP1226,"03 August 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)",,6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Mitsero,35.0427,33.1245,1,"Cyprus Mail; SigmaLive; Philenews",National,"On 3 August 2022, about 100 residents of 12 communities and members of environmental groups, organized by the group 'Communities in Action' to demonstrate against the relocation of an asphalt plant to Mitsero, remained at the site for a second day and protested peacefully. Excavation works at the planned asphalt factory were suspended.",0,"crowd size=about 100",1660055879
CYP1231,"02 August 2022",2022,1,Demonstrations,Riots,"Violent demonstration","Rioters (Cyprus)","KTOEOS: Cyprus Turkish Secondary School Teachers Union; Teachers (Cyprus); Journalists (Cyprus); Turkish Ethnic Group (Cyprus)",5,"Police Forces of Northern Cyprus (2020-)",,1,15,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,"Haravgi; Detay",National,"On 2 August 2022, Turkish Cypriot teachers, organized by KTOS and KTOEOS and supported by journalists and representatives of political parties, pushed through a police cordon at the Ministry of National Education in Northern Nicosia and entered the ministry grounds to demonstrate against the government's plans to make changes to the education law without consulting the relevant unions. The demonstrators, who set up tents outside the ministry and some held a sit-in inside the ministry, rallied with drums and whistles and shouted slogans demanding the resignation of the minister, who said that the demonstrators broke railings and windows. The demonstration ended following promises to involve the unions in any changes to the education law.",0,"crowd size=no report",1660055879
CYP1230,"02 August 2022",2022,1,Demonstrations,Riots,"Violent demonstration","Rioters (Cyprus)",,5,"Police Forces of Cyprus (2013-2023)",,1,15,,196,Europe,Cyprus,Nicosia,,,Mitsero,35.0427,33.1245,1,"Cyprus Mail; Philenews",National,"On 2 August 2022, about 100 residents of 12 communities and members of environmental groups, organized by the group 'Communities in Action' to demonstrate against the relocation of an asphalt plant to Mitsero, rallied, obstructing the progress of an excavator, and clashed with police, following the arrest of 2 community leaders, who had arrived early to prevent excavation works at the site. The demonstrators accused police, who denied the allegations, of using excessive force. They set up tents and makeshift shelters to spent the night and blocked a road for a few hours.",0,"crowd size=about 100",1677016121
CYP1214,"29 July 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Farmers (Cyprus); Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,Detay,National,"On 29 July 2022, Turkish Cypriot livestock breeders rallied outside the Ministry of Agriculture and Natural Resources in Northern Nicosia to protest against the government's policies following a sharp increase in the price of animal feed. The president of the Animal Producers and Breeders Union made a statement.",0,"crowd size=no report",1659462992
CYP1217,"29 July 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Labor Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Paphos,,,Pafos,34.7768,32.4245,1,Philenews,National,"On 29 July 2022, employees at the Pafos sewerage board (SAPA) walked off their jobs to protest over their working conditions.",0,"crowd size=no report",1659462993
CYP1229,"29 July 2022",2022,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Cyprus)",,3,"Civilians (Cyprus)","Government of Cyprus (2013-2023)",7,37,,196,Europe,Cyprus,Limassol,,,Limassol,34.6841,33.0379,1,Haravgi,National,"Property destruction: On 29 July 2022, early in the morning, unidentified assailants torched the car of a Limassol city councilor. The motive for the arson was not clear.",0,,1677016121
CYP1216,"28 July 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Labor Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Paphos,,,Pafos,34.7768,32.4245,1,"Philenews; SigmaLive",National,"On 28 July 2022, employees of Pafos municipality walked off their jobs and protested demanding that the municipality implement a labor department document to hire and promote workers.",0,"crowd size=no report",1659462991
CYP1224,"27 July 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)",,6,,,0,60,,196,Europe,Cyprus,Larnaca,,,Larnaca,34.9229,33.6233,1,"Cyprus Mail; Philenews",National,"On 27 July 2022, activists holding anti-racism banners rallied outside Larnaca court in solidarity with a Congolese woman assaulted on 13 July by a Greek Cypriot man while holding her infant in her arms. The protesters rallied on the day the attacker would appear in court for his statement.",0,"crowd size=no report",1659462991
CYP1219,"26 July 2022",2022,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Cyprus)",,3,"Civilians (Cyprus)","Government of Cyprus (2013-2023)",7,37,"Civilian targeting",196,Europe,Cyprus,Limassol,,,Korfi,34.7941,32.9634,1,SigmaLive,National,"On 26 July 2022, early in the morning, unidentified assailants shot at the home of the municipality leader of Korfi village in the Limassol district. At daybreak, bullet holes were visible in the front of the house. The exact motive remains unclear.",0,,1677016121
CYP1220,"25 July 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Teachers (Cyprus); Women (Cyprus); AKEL: Progressive Party of Working People; PEO: Pancyprian Federation of Labour; Labor Group (Cyprus); Greek Ethnic Group (Cyprus); Turkish Ethnic Group (Cyprus); KTOEOS: Cyprus Turkish Secondary School Teachers Union",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,"Detay; Haravgi; Cyprus Mail",National,"On 25 July 2022, members of the English School staff union (ESSA) rallied outside the Presidential Palace in Nicosia holding a banner reading 'Shame' to protest the management of the school and against the dismissal of 3 female unionist teachers. Representatives of AKEL and PEO participated in the protest. Turkish Cypriot teachers representing KTOS and KTOEOS and trade unionists gathered in Turkish-controlled Northern Nicosia to express their solidarity with their Greek Cypriot colleagues and made a statement.",0,"crowd size=no report",1659462991
CYP1218,"25 July 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Labor Group (Cyprus); Teachers (Cyprus); Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,Detay,National,"On 25 July 2022, Turkish Cypriot trade unionists rallied outside Nicosia District Court in Northern Nicosia to protest against the government's policies and prepared to file a case at the Constitutional Court against imminent salary cuts in the salaries of public servants. A representative of teachers' union KTOS made a statement.",0,"crowd size=no report",1659462992
CYP1222,"25 July 2022",2022,1,"Strategic developments","Strategic developments",Arrests,"Police Forces of Northern Cyprus (2020-)",,1,"Civilians (Syria)","Refugees/IDPs (Syria)",7,17,,196,Europe,Cyprus,Nicosia,,,Limnitis,35.1675,32.7394,1,SigmaLive,National,"On 25 July 2022, police arrested 28 Syrian irregular migrants - 26 men and 2 women - in the village of Limnitis in the Turkish-controlled part of Nicosia district before they crossed into the Republic of Cyprus.",0,,1659462993
CYP1223,"25 July 2022",2022,1,Demonstrations,Protests,"Protest with intervention","Protesters (International)","Refugees/IDPs (International)",6,"Police Forces of Cyprus (2013-2023)",,1,16,,196,Europe,Cyprus,Paphos,,,Pafos,34.7768,32.4245,1,"Detay; Philenews",National,"On 25 July 2022, underage refugees in the refugee camp for minors in Pafos, who were demanding a daily allowance for transport costs among other issues, attempted to resist when they were prevented from protesting on the road blocking traffic, but withdrew soon after.",0,"crowd size=no report",1677016121
CYP1215,"24 July 2022",2022,2,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","KTOEOS: Cyprus Turkish Secondary School Teachers Union; Teachers (Cyprus); Women (Cyprus); Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,"Cyprus Mail",National,"Around 24 July 2022, Turkish Cypriot parents of 46 secondary school female children, who were sent to a youth camp in Turkey, and teachers organized by KTOEOS, rallied outside the Education department in Northern Nicosia to protest after the girls complained that they had to participate in Islamic ceremonies, teachings in prayer rooms, and hymns, contrary to the secular Turkish Cypriot culture that practices a moderate version of Islam.",0,"crowd size=no report",1659462992
CYP1221,"23 July 2022",2022,1,"Political violence",Riots,"Mob violence","Rioters (Cyprus)",,5,"Civilians (Pakistan)","Labor Group (Pakistan)",7,57,"Civilian targeting",196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,"Haravgi; Cyprus Mail",National,"On 23 July 2022, early in the morning, 3 Cypriots riding a car assaulted a worker from Pakistan, who was returning home from work in Nicosia. One of the men punched him in the face and continued to beat him and to shout racial insults, while he was on the ground. The Pakistani worker was treated at the A&E department for injuries on his neck, head and lip. The following day, 2 men were arrested to be investigated on racially motivated violence, as well as assault and causing actual bodily harm and public insult.",0,"crowd size=3",1659462991
CYP1213,"20 July 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)",,6,,,0,60,,196,Europe,Cyprus,Larnaca,,,Mari,34.7406,33.2986,2,"Cyprus Mail; Philenews",National,"On 20 July 2022, residents of 9 communities in the Vassilikos area (coded to Mari), opposing the relocation of asphalt plants to the area, rallied outside the electricity authority power station blocking the entrance for an hour and then moved to the waste management site at Pentakomo, which they planned to block indefinitely, following a fire of waste material in an open area of the site on 15 July.",0,"crowd size=no report",1658857904
CYP1212,"17 July 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Ukrainian Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Paphos,,,Pafos,34.7768,32.4245,1,Philenews,National,"On 17 July 2022, the Ukrainian community of Pafos rallied at the waterfront to protest against Russia's invasion of Ukraine. They lit candles to commemorate the Ukrainians who died in the war and said Russia is committing genocide. The protesters requested the international community put more pressure on Russia.",0,"crowd size=no report",1667941257
CYP1211,"15 July 2022",2022,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Cyprus)",,3,"Civilians (Cyprus)","Government of Cyprus (2013-2023)",7,37,,196,Europe,Cyprus,Limassol,,,"Agios Mamas",34.8502,32.9484,1,Philenews,National,"Property destruction: On 15 July 2022, unidentified assailants torched the car of the municipality leader of Agios Mamas village in the Limassol district. The exact motive remains unclear.",0,,1677016121
CYP1210,"13 July 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)",,6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,SigmaLive,National,"On 13 July 2022, protesters organized by the Federation of Environmental Organizations of Cyprus marched to the Presidential Palace in Nicosia carrying banners and shouting slogans against development plans for the national park of Akamas, the last pristine coastal area in the Republic of Cyprus.",0,"crowd size=no report",1658249349
CYP1209,"12 July 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Kyrenia,,,Kyrenia,35.3363,33.3173,1,Detay,National,"On 12 July 2022, activists (Turkish Cypriots) rallied on a beach in Kyrenia, in Northern Cyprus, with the slogan 'Get your sandwich and come' after a family with young children was made to leave the beach because they brought their own sandwiches and did not use the restaurant facility of the beach club. The protesters said that access to the coastline is free by law.",0,"crowd size=no report",1658249347
CYP1208,"12 July 2022",2022,1,"Political violence",Riots,"Mob violence","Rioters (Cyprus)",,5,"Civilians (Syria)","Police Forces of Cyprus (2013-2023); Refugees/IDPs (Syria)",7,57,"Civilian targeting",196,Europe,Cyprus,Nicosia,,,Geri,35.1068,33.4204,1,Philenews,National,"On 12 July 2022, 20-30 assailants attacked a group of 7-8 Syrians in Geri with knives and sticks before torching a car belonging to 1 of the Syrians. Police arrived while the car was burning and 10 of the assailants were still at the scene. Following a chase, police arrested 2 of the assailants.",0,"crowd size=20-30",1677016121
CYP1207,"09 July 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","Health Workers (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Larnaca,,,Larnaca,34.9229,33.6233,1,Philenews,National,"On 9 July 2022, nurses participated in a strike and a rally over understaffing at Larnaca General Hospital.",0,"crowd size=no report",1658249349
CYP1200,"07 July 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cyprus)","CTP: Republican Turkish Party; Government of Northern Cyprus (2020-); Turkish Ethnic Group (Cyprus)",6,,,0,60,,196,Europe,Cyprus,Nicosia,,,Nicosia,35.1753,33.3642,1,"Detay; SigmaLive",National,"On 7 July 2022, members of CTP protested for a second day setting up a tent outside the Prime Minister's office in Northern Nicosia and accused the government, which they consider to be illegitimate, of corruption amid problems in the fuel supply and continuous power cuts. The protesters accused KIB-TEK, the Turkish Cypriot Electricity Authority, of purchasing fuel without tender. The leader of CTP and 18 CTP MPs entered the building and demanded a meeting with the Prime Minister to see the contracts. The previous day CTP had applied to the Constitutional Court for the annulment of the decision. Following public pressure, 4 members of the board of directors of KIB-TEK resigned and the Prime Minister handed over the contract documents.",0,"crowd size=at least 19",1657635466
